category_name,model,accuracy
instructive,one_shot_accuracy,0.9
instructive,one_shot_accuracy,0.9
instructive,one_shot_accuracy,0.9
instructive,one_shot_accuracy,0.8
instructive,one_shot_accuracy,0.9
irrelevant,one_shot_accuracy,0.8
irrelevant,one_shot_accuracy,0.4
irrelevant,one_shot_accuracy,0.6
irrelevant,one_shot_accuracy,0.7
irrelevant,one_shot_accuracy,0.9
misleading_extreme,one_shot_accuracy,0.8
misleading_extreme,one_shot_accuracy,0.7
misleading_extreme,one_shot_accuracy,0.6
misleading_extreme,one_shot_accuracy,0.7
misleading_extreme,one_shot_accuracy,0.7
misleading_moderate,one_shot_accuracy,0.9
misleading_moderate,one_shot_accuracy,0.7
misleading_moderate,one_shot_accuracy,0.7
misleading_moderate,one_shot_accuracy,0.7
misleading_moderate,one_shot_accuracy,0.8
null,one_shot_accuracy,0.7
null,one_shot_accuracy,0.7
null,one_shot_accuracy,0.9
null,one_shot_accuracy,0.8
null,one_shot_accuracy,0.8
instructive,two_shot_accuracy,0.9
instructive,two_shot_accuracy,0.9
instructive,two_shot_accuracy,0.9
instructive,two_shot_accuracy,0.9
instructive,two_shot_accuracy,0.9
irrelevant,two_shot_accuracy,1.0
irrelevant,two_shot_accuracy,0.7
irrelevant,two_shot_accuracy,0.9
irrelevant,two_shot_accuracy,0.7
irrelevant,two_shot_accuracy,0.9
misleading_extreme,two_shot_accuracy,0.7
misleading_extreme,two_shot_accuracy,0.7
misleading_extreme,two_shot_accuracy,0.6
misleading_extreme,two_shot_accuracy,0.7
misleading_extreme,two_shot_accuracy,0.9
misleading_moderate,two_shot_accuracy,0.9
misleading_moderate,two_shot_accuracy,0.7
misleading_moderate,two_shot_accuracy,0.9
misleading_moderate,two_shot_accuracy,0.9
misleading_moderate,two_shot_accuracy,0.9
null,two_shot_accuracy,0.9
null,two_shot_accuracy,0.6
null,two_shot_accuracy,1.0
null,two_shot_accuracy,0.5
null,two_shot_accuracy,0.9
instructive,four_shot_accuracy,0.9
instructive,four_shot_accuracy,0.8
instructive,four_shot_accuracy,0.8
instructive,four_shot_accuracy,0.9
instructive,four_shot_accuracy,0.9
irrelevant,four_shot_accuracy,1.0
irrelevant,four_shot_accuracy,0.6
irrelevant,four_shot_accuracy,1.0
irrelevant,four_shot_accuracy,1.0
irrelevant,four_shot_accuracy,0.8
misleading_extreme,four_shot_accuracy,0.8
misleading_extreme,four_shot_accuracy,0.7
misleading_extreme,four_shot_accuracy,0.6
misleading_extreme,four_shot_accuracy,0.7
misleading_extreme,four_shot_accuracy,1.0
misleading_moderate,four_shot_accuracy,0.8
misleading_moderate,four_shot_accuracy,0.7
misleading_moderate,four_shot_accuracy,0.8
misleading_moderate,four_shot_accuracy,0.8
misleading_moderate,four_shot_accuracy,0.8
null,four_shot_accuracy,0.8
null,four_shot_accuracy,0.7
null,four_shot_accuracy,0.7
null,four_shot_accuracy,0.6
null,four_shot_accuracy,0.8
instructive,zero_shot_accuracy,0.8
instructive,zero_shot_accuracy,0.8
instructive,zero_shot_accuracy,0.9
instructive,zero_shot_accuracy,0.8
instructive,zero_shot_accuracy,0.9
irrelevant,zero_shot_accuracy,0.8
irrelevant,zero_shot_accuracy,0.3
irrelevant,zero_shot_accuracy,0.6
irrelevant,zero_shot_accuracy,0.6
irrelevant,zero_shot_accuracy,0.9
misleading_extreme,zero_shot_accuracy,0.6
misleading_extreme,zero_shot_accuracy,0.6
misleading_extreme,zero_shot_accuracy,0.6
misleading_extreme,zero_shot_accuracy,0.6
misleading_extreme,zero_shot_accuracy,0.7
misleading_moderate,zero_shot_accuracy,0.4
misleading_moderate,zero_shot_accuracy,0.8
misleading_moderate,zero_shot_accuracy,0.8
misleading_moderate,zero_shot_accuracy,0.7
misleading_moderate,zero_shot_accuracy,0.8
null,zero_shot_accuracy,0.5
null,zero_shot_accuracy,0.4
null,zero_shot_accuracy,0.8
null,zero_shot_accuracy,0.5
null,zero_shot_accuracy,0.4
instructive,category,instructive_0
instructive,category,instructive_1
instructive,category,instructive_2
instructive,category,instructive_3
instructive,category,instructive_4
irrelevant,category,irrelevant_0
irrelevant,category,irrelevant_1
irrelevant,category,irrelevant_2
irrelevant,category,irrelevant_3
irrelevant,category,irrelevant_4
misleading_extreme,category,misleading_extreme_0
misleading_extreme,category,misleading_extreme_1
misleading_extreme,category,misleading_extreme_2
misleading_extreme,category,misleading_extreme_3
misleading_extreme,category,misleading_extreme_4
misleading_moderate,category,misleading_moderate_0
misleading_moderate,category,misleading_moderate_1
misleading_moderate,category,misleading_moderate_2
misleading_moderate,category,misleading_moderate_3
misleading_moderate,category,misleading_moderate_4
null,category,null_0
null,category,null_1
null,category,null_2
null,category,null_3
null,category,null_4
